Irrigation,Species,Size,Month,Growth
High Irrigation,Arctostaphylos,"4"" ",May,11.65
High Irrigation,Arctostaphylos,"4"" ",Jun,9.575
High Irrigation,Arctostaphylos,"4"" ",Jul,9.775
High Irrigation,Arctostaphylos,"4"" ",Aug,9.675
High Irrigation,Arctostaphylos,"4"" ",Sept,9.575
High Irrigation,Arctostaphylos,"4"" ",Oct,10.4
High Irrigation,Arctostaphylos,"4"" ",Nov,11.425
High Irrigation,Arctostaphylos,"4"" ",Dec,11.925
High Irrigation,Arctostaphylos,"4"" ",Jan,11.1
High Irrigation,Arctostaphylos,"4"" ",Feb,11.875
High Irrigation,Arctostaphylos,"4"" ",Mar,13.075
High Irrigation,Arctostaphylos,"4"" ",Apr,12.65
Low Irrigation,Arctostaphylos,1 gal,May,9.285714286
Low Irrigation,Arctostaphylos,1 gal,Jun,8.232142857
Low Irrigation,Arctostaphylos,1 gal,Jul,9.732142857
Low Irrigation,Arctostaphylos,1 gal,Aug,9.785714286
Low Irrigation,Arctostaphylos,1 gal,Sept,11.16071429
Low Irrigation,Arctostaphylos,1 gal,Oct,11.39285714
Low Irrigation,Arctostaphylos,1 gal,Nov,12.26785714
Low Irrigation,Arctostaphylos,1 gal,Dec,12.44642857
Low Irrigation,Arctostaphylos,1 gal,Jan,13.41071429
Low Irrigation,Arctostaphylos,1 gal,Feb,13.39285714
Low Irrigation,Arctostaphylos,1 gal,Mar,14.03571429
Low Irrigation,Arctostaphylos,1 gal,Apr,13.32142857
,,,,
