surv_month,irrigation,species,size,growth_rate
1,high,arcto,"4""",11.65
2,high,arcto,"4""",9.575
3,high,arcto,"4""",9.775
4,high,arcto,"4""",9.675
5,high,arcto,"4""",9.575
6,high,arcto,"4""",10.4
7,high,arcto,"4""",11.425
8,high,arcto,"4""",11.925
9,high,arcto,"4""",11.1
10,high,arcto,"4""",11.875
11,high,arcto,"4""",13.075
12,high,arcto,"4""",12.65
13,high,arcto,"4""",12.625
14,high,arcto,"4""",13.95
15,high,arcto,"4""",14.2
16,high,arcto,"4""",14.475
17,high,arcto,"4""",14.3
18,high,arcto,"4""",14.275
19,high,arcto,"4""",14.85
20,high,arcto,"4""",14.2
21,high,arcto,"4""",14.7
22,high,arcto,"4""",15
23,high,arcto,"4""",16.625
1,high,arcto,1gal,9.285714286
2,high,arcto,1gal,8.232142857
3,high,arcto,1gal,9.732142857
4,high,arcto,1gal,9.785714286
5,high,arcto,1gal,11.16071429
6,high,arcto,1gal,11.39285714
7,high,arcto,1gal,12.26785714
8,high,arcto,1gal,12.44642857
9,high,arcto,1gal,13.41071429
10,high,arcto,1gal,13.39285714
11,high,arcto,1gal,14.03571429
12,high,arcto,1gal,13.32142857
13,high,arcto,1gal,13.57142857
14,high,arcto,1gal,16.75
15,high,arcto,1gal,16.41071429
16,high,arcto,1gal,16.76785714
17,high,arcto,1gal,16.53571429
18,high,arcto,1gal,16.875
19,high,arcto,1gal,15.83333333
20,high,arcto,1gal,13.3125
21,high,arcto,1gal,13.125
22,high,arcto,1gal,12.91666667
23,high,arcto,1gal,12.875
1,low,arcto,"4""",10.475
2,low,arcto,"4""",8.55
3,low,arcto,"4""",9.725
4,low,arcto,"4""",11.1
5,low,arcto,"4""",10.575
6,low,arcto,"4""",10.3
7,low,arcto,"4""",9.9
8,low,arcto,"4""",11.15625
9,low,arcto,"4""",11.5625
10,low,arcto,"4""",11.9375
11,low,arcto,"4""",12.625
12,low,arcto,"4""",12.03125
13,low,arcto,"4""",15.65625
14,low,arcto,"4""",14.5625
15,low,arcto,"4""",16.96875
16,low,arcto,"4""",16.65625
17,low,arcto,"4""",16.625
18,low,arcto,"4""",16.9375
19,low,arcto,"4""",17.3125
20,low,arcto,"4""",16.8125
21,low,arcto,"4""",16.0625
22,low,arcto,"4""",13.625
23,low,arcto,"4""",16.4375
1,low,arcto,1gal,10.83333333
2,low,arcto,1gal,9.541666667
3,low,arcto,1gal,10.25
4,low,arcto,1gal,11.70833333
5,low,arcto,1gal,15.375
6,low,arcto,1gal,12.08333333
7,low,arcto,1gal,13.33333333
8,low,arcto,1gal,15.20833333
9,low,arcto,1gal,16.5
10,low,arcto,1gal,15.54166667
11,low,arcto,1gal,15.33333333
12,low,arcto,1gal,15.625
13,low,arcto,1gal,20.66666667
14,low,arcto,1gal,22.16666667
15,low,arcto,1gal,21.20833333
16,low,arcto,1gal,21
17,low,arcto,1gal,20.75
